checked in,company name,drive time,driver status,entry count,event date,last updated,question_1,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,registered,signed waiver,survey complete,timestamp,vehicle
yes,Chase - Tuesday,3:45 PM,Driver,,2018-05-08 00:00:00.000,2018-05-08 14:20:00.000,NO,Very Important,Very Important,Very Important,Very Important,0-10,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,no,,Tesla Model S
no,Chase - Tuesday,2:45 PM,Driver,,2018-05-08 00:00:00.000,2018-05-08 13:57:00.000,NO,Very Important,Very Important,Very Important,Very Important,0-10,,Very much,,Sedan,YES,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,no,no,,Tesla Model S
yes,Chase - Tuesday,10:45 AM,Driver,,2018-05-08 00:00:00.000,2018-05-08 12:50:00.000,NO,Important,Important,Important,Very Important,20-30,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,yes,,Tesla Model X
yes,Chase - Tuesday,9:45 AM,Driver,,2018-05-08 00:00:00.000,2018-05-08 13:42:00.000,NO,Very Important,Very Important,Very Important,Very Important,20-30,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,no,,Tesla Model X
yes,Chase - Tuesday,11:45 AM,Driver,,2018-05-08 00:00:00.000,2018-05-08 13:27:00.000,NO,Very Important,Very Important,Very Important,Very Important,40-50,,Very much,,SUV,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,no,,Tesla Model X
no,Huntington,4:00 PM,Driver,,2018-05-11 00:00:00.000,2018-04-26 15:15:00.000,YES,Very Important,Important,Very Important,Very Important,40-50,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,no,no,,Tesla Model S
no,Huntington,9:00 AM,Driver,,2018-05-11 00:00:00.000,2018-05-08 15:01:00.000,YES,Unimportant,Important,Very Important,Important,20-30,,A little,,Sedan,NO,Important,Very Important,Very Important,Very Important,Important,Somewhat Important,yes,no,no,,Tesla Model S
yes,Huntington,12:00 PM,Driver,,2018-05-11 00:00:00.000,2018-04-25 16:33:00.000,NO,Unimportant,Very Important,Very Important,Very Important,30-40,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Important,yes,yes,yes,,Tesla Model X
yes,Huntington,12:30 PM,Driver,,2018-05-11 00:00:00.000,2018-04-26 15:15:00.000,NO,Important,Important,Important,Important,20-30,,A little,,"Sedan, Truck",NO,Important,Important,Important,Important,Important,Important,yes,yes,no,,Tesla Model X
yes,Huntington,1:00 PM,Driver,,2018-05-11 00:00:00.000,2018-04-26 18:02:00.000,NO,Unimportant,Important,Very Important,Very Important,40-50,,Very much,,Sedan,NO,Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,yes,yes,no,,Tesla Model X
yes,Huntington,4:00 PM,Driver,,2018-05-11 00:00:00.000,2018-04-26 15:11:00.000,NO,Somewhat Important,Important,Very Important,Very Important,20-Oct,N/A,A little,YES,Sedan,NO,Important,Important,Very Important,Very Important,Important,Important,yes,yes,yes,,BMW i3
yes,Huntington,10:30 AM,Driver,,2018-05-11 00:00:00.000,2018-04-26 15:38:00.000,NO,Unimportant,Somewhat Important,Important,Very Important,20-30,,Very much,,Sedan,NO,Important,Very Important,Important,Important,Somewhat Important,Important,yes,yes,yes,,BMW i3
yes,Huntington,1:30 PM,Driver,,2018-05-11 00:00:00.000,2018-04-27 12:29:00.000,YES,Very Important,Very Important,Very Important,Very Important,0-10,,Very much,,Sports Car,NO,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,yes,,BMW i3
yes,Huntington,1:30 PM,Driver,,2018-05-11 00:00:00.000,2018-04-27 12:46:00.000,NO,Somewhat Important,Very Important,Very Important,Very Important,30-40,,A little,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,yes,,BMW i3
yes,Huntington,3:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 14:41:00.000,NO,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,20-30,,Very much,,Sedan,NO,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,yes,yes,yes,,BMW i3
yes,Huntington,11:00 AM,Driver,2,2018-05-11 00:00:00.000,2018-04-26 15:07:00.000,,Somewhat Important,Important,Important,Important,20-30,,A little,,SUV,NO,Important,Important,Important,Very Important,Somewhat Important,Very Important,yes,yes,no,,BMW X5
yes,Huntington,3:00 PM,Driver,,2018-05-11 00:00:00.000,2018-04-26 17:19:00.000,YES,Very Important,Very Important,Very Important,Very Important,40-50,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,yes,,BMW X5
yes,Huntington,3:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 15:52:00.000,YES,Important,Important,Important,Important,30-40,,Not at all,,Sports Car,NO,Important,Somewhat Important,Unimportant,Important,Somewhat Important,Somewhat Important,yes,yes,yes,,BMW X5
yes,Huntington,4:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 17:23:00.000,NO,Unimportant,Important,Very Important,Important,30-40,,Very much,,Sedan,NO,Important,Important,Important,Important,Important,Somewhat Important,yes,yes,no,,BMW X5
no,Huntington,2:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-08 15:55:00.000,YES,Very Important,Very Important,Very Important,Very Important,20-Oct,,Very much,,Sedan,NO,Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,no,yes,,BMW X5
no,Huntington,1:00 PM,Driver,2,2018-05-11 00:00:00.000,2018-04-25 16:31:00.000,,Important,Very Important,Very Important,Very Important,40-50,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,yes,no,no,,BMW i3
no,Huntington,3:00 PM,Driver,2,2018-05-11 00:00:00.000,2018-04-26 15:10:00.000,,Unimportant,Important,Very Important,Very Important,20-Oct,,A little,,Sedan,NO,Important,Very Important,Very Important,Very Important,Very Important,Important,yes,no,yes,,BMW i3
no,Huntington,11:30 AM,Driver,2,2018-05-11 00:00:00.000,2018-05-01 20:33:00.000,,Very Important,Very Important,Very Important,Very Important,0-10,,Very much,,Van,NO,Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,no,no,,BMW i3
no,Huntington,3:30 PM,Driver,,2018-05-11 00:00:00.000,2018-05-07 12:00:00.000,NO,Somewhat Important,Very Important,Very Important,Very Important,60+,,Very much,,SUV,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Important,yes,no,no,,BMW i3
no,Huntington,2:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-08 14:58:00.000,NO,Somewhat Important,Somewhat Important,Very Important,Very Important,20-Oct,N/A,A little,N/A,Sedan,NO,Very Important,Very Important,Important,Very Important,Very Important,Very Important,yes,no,yes,,BMW i3
no,Huntington,3:30 PM,Driver,2,2018-05-11 00:00:00.000,2018-05-08 15:12:00.000,,Important,Important,Very Important,Important,20-30,N/A,Very much,YES,SUV,NO,Important,Very Important,Very Important,Very Important,Important,Very Important,yes,no,no,,BMW i3
no,Huntington,3:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-09 16:42:00.000,YES,Very Important,Very Important,Very Important,Very Important,30-40,,Very much,,Sports Car,NO,Very Important,Very Important,Important,Very Important,Very Important,Somewhat Important,yes,no,no,,BMW i3
no,Huntington,2:30 PM,Driver,2,2018-05-11 00:00:00.000,2018-05-09 16:43:00.000,,Very Important,Very Important,Very Important,Very Important,30-40,,Very much,,Sports Car,NO,Very Important,Very Important,Important,Very Important,Very Important,Somewhat Important,yes,no,no,,BMW i3
yes,Huntington,10:00 AM,Driver,,2018-05-11 00:00:00.000,2018-04-25 17:15:00.000,NO,Somewhat Important,Important,Important,Important,0-10,N/A,Very much,YES,SUV,NO,Somewhat Important,Somewhat Important,Somewhat Important,Important,Important,Important,yes,yes,yes,,BMW X5
yes,Huntington,12:00 PM,Driver,2,2018-05-11 00:00:00.000,2018-04-25 18:04:00.000,,Somewhat Important,Important,Very Important,Very Important,20-Oct,,Very much,,Sedan,NO,Important,Very Important,Very Important,Very Important,Important,Important,yes,yes,yes,,BMW X5
no,Huntington,9:00 AM,Driver,2,2018-05-11 00:00:00.000,2018-04-26 15:16:00.000,,Very Important,Important,Very Important,Very Important,40-50,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,no,no,,Mercedes GLE
no,Huntington,12:00 PM,Driver,,2018-05-11 00:00:00.000,2018-04-26 15:16:00.000,NO,Somewhat Important,Important,Very Important,Very Important,20-Oct,,Very much,,Sedan,NO,Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,no,yes,,Mercedes GLE
yes,Huntington,1:00 PM,Driver,,2018-05-11 00:00:00.000,2018-04-26 15:14:00.000,NO,Somewhat Important,Very Important,Very Important,Very Important,30-40,,Very much,,Sedan,NO,Very Important,Very Important,Important,Very Important,Important,Important,yes,yes,yes,,Nissan LEAF
yes,Huntington,2:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 17:11:00.000,NO,Somewhat Important,Somewhat Important,Very Important,Important,20-30,,Very much,,Sedan,NO,Important,Very Important,Important,Important,Important,Important,yes,yes,no,,Nissan LEAF
no,Huntington,9:30 AM,Driver,2,2018-05-11 00:00:00.000,2018-05-08 15:02:00.000,,Unimportant,Important,Very Important,Important,20-30,,A little,,Sedan,NO,Important,Very Important,Very Important,Very Important,Important,Somewhat Important,yes,no,no,,Nissan LEAF
no,Huntington,10:30 AM,Driver,,2018-05-11 00:00:00.000,2018-04-26 20:27:00.000,NO,Unimportant,Somewhat Important,Very Important,Important,20-Oct,,A little,,Sports Car,NO,Important,Very Important,Important,Important,Somewhat Important,Important,yes,no,no,,BMW X5
no,Huntington,2:30 PM,Driver,,2018-05-11 00:00:00.000,2018-04-26 21:49:00.000,NO,Very Important,Important,Very Important,Important,0-10,,Very much,,SUV,NO,Unimportant,Very Important,Somewhat Important,Very Important,Unimportant,Important,yes,no,no,,BMW X5
no,Huntington,1:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-08 15:07:00.000,NO,Very Important,Important,Very Important,Important,20-Oct,N/A,A little,YES,SUV,NO,Very Important,Important,Very Important,Very Important,Somewhat Important,Very Important,yes,no,no,,BMW X5
no,Huntington,1:30 PM,Driver,,2018-05-11 00:00:00.000,2018-05-08 15:27:00.000,NO,Important,Somewhat Important,Important,Important,20-30,N/A,A little,N/A,Sports Car,NO,Important,Important,Somewhat Important,Important,Important,Very Important,yes,no,no,,BMW X5
no,Huntington,2:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-08 15:53:00.000,YES,Very Important,Very Important,Very Important,Very Important,30-40,,Very much,,"Sedan, SUV",NO,Very Important,Important,Very Important,Very Important,Very Important,Important,yes,no,yes,,BMW X5
no,Huntington,9:30 AM,Driver,2,2018-05-11 00:00:00.000,2018-05-08 16:01:00.000,,Very Important,Very Important,Very Important,Very Important,20-30,,A little,,"Sedan, SUV",NO,Important,Somewhat Important,Somewhat Important,Important,Somewhat Important,Important,yes,no,no,,BMW X5
no,Huntington,9:30 AM,Driver,,2018-05-11 00:00:00.000,2018-05-08 16:31:00.000,NO,Somewhat Important,Somewhat Important,Very Important,Important,20-30,,Very much,,"SUV, Truck",NO,Very Important,Very Important,Somewhat Important,Important,Somewhat Important,Very Important,yes,no,no,,BMW X5
no,Huntington,3:30 PM,Driver,,2018-05-11 00:00:00.000,2018-05-09 19:35:00.000,YES,Important,Important,Very Important,Important,20-30,,Very much,,Sports Car,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,yes,no,no,,BMW X5
yes,Huntington,3:00 PM,Driver,,2018-05-11 00:00:00.000,2018-04-25 16:41:00.000,NO,Very Important,Very Important,Very Important,Important,40-50,,A little,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Important,Important,yes,yes,yes,,Chevy Bolt
yes,Huntington,3:30 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 19:31:00.000,NO,Very Important,Very Important,Very Important,Very Important,20-30,,Very much,,"Sedan, SUV",NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,yes,,Chevy Bolt
yes,Huntington,1:30 PM,Driver,,2018-05-11 00:00:00.000,2018-04-30 15:30:00.000,NO,Somewhat Important,Important,Very Important,Important,60+,,A little,,Sedan,NO,Important,Very Important,Very Important,Very Important,Somewhat Important,Important,yes,yes,no,,Tesla Model X
no,Huntington,2:30 PM,Driver,2,2018-05-11 00:00:00.000,2018-04-26 13:28:00.000,,Very Important,Very Important,Very Important,Very Important,60+,,Very much,,Sports Car,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,no,no,,Tesla Model X
no,Huntington,,Rider,,2018-05-11 00:00:00.000,2018-05-11 19:02:00.000,,Important,Important,Important,Important,20-Oct,,A little,,Sports Car,NO,Important,Important,Important,Important,Important,Important,yes,no,yes,,
yes,Huntington,4:00 PM,Driver,,2018-05-11 00:00:00.000,2018-04-25 16:28:00.000,YES,Very Important,Very Important,Very Important,Very Important,20-Oct,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,no,,BMW i3
yes,Huntington,1:00 PM,Driver,,2018-05-11 00:00:00.000,2018-04-25 17:28:00.000,NO,Very Important,Very Important,Very Important,Very Important,60+,,Very much,,SUV,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,yes,,BMW i3
yes,Huntington,2:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-08 16:26:00.000,NO,Unimportant,Somewhat Important,Very Important,Very Important,30-40,N/A,A little,YES,"Sedan, Truck",NO,Important,Very Important,Very Important,Very Important,Important,Somewhat Important,yes,yes,yes,,Honda Clarity
yes,Huntington,10:00 AM,Driver,,2018-05-11 00:00:00.000,2018-05-10 16:10:00.000,NO,Important,Very Important,Very Important,Important,20-30,,A little,,SUV,NO,Important,Very Important,Important,Very Important,Somewhat Important,Important,yes,yes,yes,,Honda Clarity
yes,Huntington,10:00 AM,Driver,,2018-05-11 00:00:00.000,2018-05-11 12:07:00.000,NO,Important,Very Important,Very Important,Very Important,20-Oct,,A little,,Sedan,NO,Important,Very Important,Very Important,Important,Very Important,Important,yes,yes,yes,,Honda Clarity
no,Huntington,1:00 PM,Driver,2,2018-05-11 00:00:00.000,2018-04-25 16:31:00.000,,Important,Important,Important,Important,30-40,N/A,Very much,YES,Sedan,NO,Important,Important,Important,Very Important,Important,Important,yes,no,yes,,Honda Clarity
no,Huntington,9:30 AM,Driver,,2018-05-11 00:00:00.000,2018-04-26 15:32:00.000,NO,Very Important,Very Important,Very Important,Important,0-10,,Very much,,SUV,NO,Important,Very Important,Very Important,Very Important,Important,Somewhat Important,yes,no,no,,Honda Clarity
no,Huntington,2:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-08 14:58:00.000,NO,Very Unimportant,Important,Very Important,Important,20-30,,A little,,Sedan,NO,Important,Very Important,Important,Important,Important,Important,yes,no,no,,Honda Clarity
no,Huntington,1:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 10:17:00.000,NO,Important,Important,Important,Important,20-30,,Very much,,Sedan,NO,Important,Important,Important,Important,Important,Important,yes,no,no,,Honda Clarity
yes,Huntington,10:00 AM,Driver,2,2018-05-11 00:00:00.000,2018-04-25 16:22:00.000,,Important,Somewhat Important,Very Important,Very Important,30-40,,Very much,,Sports Car,NO,Very Important,Very Important,Somewhat Important,Very Important,Unimportant,Very Important,yes,yes,yes,,Mercedes 350e
yes,Huntington,2:30 PM,Driver,2,2018-05-11 00:00:00.000,2018-04-25 16:39:00.000,,Somewhat Important,Very Important,Very Important,Very Important,0-10,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Important,Very Important,yes,yes,no,,Mercedes 350e
yes,Huntington,10:00 AM,Driver,,2018-05-11 00:00:00.000,2018-04-25 16:54:00.000,YES,Unimportant,Important,Very Important,Very Important,20-30,,Very much,,Sedan,NO,Very Important,Important,Important,Very Important,Important,Very Important,yes,yes,no,,Mercedes 350e
no,Huntington,10:30 AM,Driver,,2018-05-11 00:00:00.000,2018-04-26 14:59:00.000,NO,Important,Important,Very Important,Very Important,20-Oct,,Very much,,SUV,NO,Important,Very Important,Very Important,Very Important,Very Important,Important,yes,no,no,,Honda Clarity
no,Huntington,3:30 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 17:00:00.000,NO,Somewhat Important,Very Important,Very Important,Very Important,40-50,,Very much,,Sedan,NO,Important,Very Important,Very Important,Very Important,Important,Important,yes,no,no,,Honda Clarity
no,Huntington,2:30 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 18:03:00.000,NO,Important,Important,Very Important,Very Important,20-30,,Very much,,Van,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Important,yes,no,yes,,Honda Clarity
yes,Huntington,10:30 AM,Driver,2,2018-05-11 00:00:00.000,2018-04-26 13:28:00.000,,Somewhat Important,Somewhat Important,Very Important,Important,20-30,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Important,Somewhat Important,yes,yes,no,,Mercedes 350e
yes,Huntington,9:00 AM,Driver,,2018-05-11 00:00:00.000,2018-04-27 17:52:00.000,NO,Unimportant,Very Important,Very Important,Very Important,30-40,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,yes,,Mercedes 350e
yes,Huntington,12:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 15:23:00.000,NO,Very Important,Very Important,Very Important,Very Important,20-Oct,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,yes,,BMW X5
yes,Huntington,11:30 AM,Driver,,2018-05-11 00:00:00.000,2018-05-11 14:42:00.000,NO,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,30-40,,Very much,,SUV,NO,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,yes,yes,no,,BMW X5
yes,Huntington,12:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 14:46:00.000,NO,Somewhat Important,Very Important,Very Important,Very Important,20-30,N/A,Very much,YES,Sedan,NO,Important,Very Important,Very Important,Very Important,Important,Somewhat Important,yes,yes,no,,BMW X5
yes,Huntington,4:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 15:01:00.000,NO,Very Important,Very Important,Very Important,Very Important,20-Oct,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,no,,BMW X5
no,Huntington,9:00 AM,Driver,,2018-05-11 00:00:00.000,2018-04-25 17:15:00.000,NO,Unimportant,Very Important,Very Important,Very Important,20-Oct,,A little,,Sedan,NO,Somewhat Important,Important,Very Important,Very Important,Very Important,Important,yes,no,no,,BMW X5
yes,Huntington,4:00 PM,Driver,2,2018-05-11 00:00:00.000,2018-05-08 15:56:00.000,,Very Important,Very Important,Very Important,Very Important,20-Oct,,Very much,,Sedan,NO,Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,yes,,Mercedes 350e
yes,Huntington,12:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 15:56:00.000,NO,Very Important,Important,Very Important,Very Important,20-Oct,,Very much,,SUV,NO,Important,Important,Important,Very Important,Important,Very Important,yes,yes,yes,,Mercedes 350e
yes,Huntington,10:00 AM,Driver,,2018-05-11 00:00:00.000,2018-04-26 13:28:00.000,YES,Somewhat Important,Somewhat Important,Very Important,Important,20-30,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Important,Somewhat Important,yes,yes,no,,Mercedes GLE
yes,Huntington,10:30 AM,Driver,,2018-05-11 00:00:00.000,2018-05-09 12:48:00.000,NO,Somewhat Important,Very Important,Very Important,Very Important,20-30,N/A,Very much,YES,Sedan,NO,Important,Important,Very Important,Very Important,Very Important,Somewhat Important,yes,yes,yes,,Mercedes GLE
yes,Huntington,2:30 PM,Driver,,2018-05-11 00:00:00.000,2018-05-09 18:50:00.000,NO,Somewhat Important,Somewhat Important,Very Important,Very Important,20-30,,Very much,,"Sedan, Truck",NO,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,yes,yes,no,,Mercedes GLE
yes,Huntington,2:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-08 17:26:00.000,NO,Important,Very Important,Very Important,Very Important,20-30,,A little,,SUV,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,no,,Mercedes 350e
yes,Huntington,3:00 PM,Driver,2,2018-05-11 00:00:00.000,2018-05-08 20:02:00.000,,Important,Important,Very Important,Important,20-Oct,,Very much,,Van,NO,Important,Very Important,Very Important,Very Important,Very Important,Important,yes,yes,yes,,Mercedes 350e
yes,Huntington,3:30 PM,Driver,,2018-05-11 00:00:00.000,2018-05-10 22:12:00.000,NO,Important,Very Important,Very Important,Very Important,50-60,,Very much,,SUV,NO,Important,Important,Very Important,Very Important,Very Important,Important,yes,yes,yes,,Mercedes 350e
yes,Huntington,12:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 15:45:00.000,NO,Somewhat Important,Very Important,Very Important,Very Important,20-Oct,,Very much,,Sedan,NO,Very Important,Very Important,Important,Very Important,Somewhat Important,Important,yes,yes,yes,,Mercedes 350e
yes,Huntington,11:00 AM,Driver,,2018-05-11 00:00:00.000,2018-05-11 14:37:00.000,NO,Somewhat Important,Somewhat Important,Very Important,Very Important,20-Oct,N/A,A little,N/A,Sedan,NO,Important,Important,Important,Important,Very Important,Important,yes,yes,yes,,Mercedes 350e
yes,Huntington,9:00 AM,Driver,,2018-05-11 00:00:00.000,2018-04-27 17:57:00.000,NO,Important,Important,Important,Important,40-50,N/A,A little,N/A,SUV,NO,Important,Important,Important,Very Important,Important,Somewhat Important,yes,yes,no,,Mercedes 350e
yes,Huntington,9:30 AM,Driver,,2018-05-11 00:00:00.000,2018-05-01 15:59:00.000,NO,Somewhat Important,Very Important,Very Important,Very Important,20-Oct,N/A,Very much,YES,Sedan,NO,Important,Very Important,Important,Very Important,Important,Important,yes,yes,no,,Mercedes 350e
yes,Huntington,10:00 AM,Driver,,2018-05-11 00:00:00.000,2018-05-08 14:59:00.000,NO,Unimportant,Very Important,Very Important,Very Important,30-40,,Very much,,Sedan,NO,Important,Important,Important,Very Important,Important,Important,yes,yes,yes,,Mercedes 350e
yes,Huntington,2:30 PM,Driver,,2018-05-11 00:00:00.000,2018-05-08 15:43:00.000,NO,Very Important,Important,Very Important,Important,30-40,,Very much,,SUV,NO,Important,Important,Important,Very Important,Important,Important,yes,yes,no,,Mercedes 350e
yes,Huntington,4:00 PM,Driver,2,2018-05-11 00:00:00.000,2018-05-08 15:55:00.000,,Very Important,Very Important,Very Important,Very Important,30-40,,Very much,,"Sedan, SUV",NO,Very Important,Important,Very Important,Very Important,Very Important,Important,yes,yes,yes,,Mercedes 350e
yes,Huntington,2:00 PM,Driver,,2018-05-11 00:00:00.000,2018-04-26 15:25:00.000,NO,Very Important,Important,Very Important,Important,30-40,N/A,Very much,YES,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Important,Very Important,yes,yes,yes,,Honda Clarity
yes,Huntington,9:00 AM,Driver,,2018-05-11 00:00:00.000,2018-04-26 15:55:00.000,YES,Somewhat Important,Somewhat Important,Important,Important,20-30,,Very much,,Sedan,NO,Important,Important,Important,Important,Important,Important,yes,yes,yes,,Honda Clarity
yes,Huntington,9:00 AM,Driver,,2018-05-11 00:00:00.000,2018-04-26 15:57:00.000,YES,Important,Unimportant,Important,Important,30-40,,Very much,,SUV,NO,Somewhat Important,Very Important,Important,Very Important,Important,Somewhat Important,yes,yes,yes,,Honda Clarity
yes,Huntington,4:00 PM,Driver,,2018-05-11 00:00:00.000,2018-04-28 10:29:00.000,NO,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,20-Oct,N/A,A little,YES,Sedan,NO,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,yes,yes,no,,Honda Clarity
yes,Huntington,9:00 AM,Driver,,2018-05-11 00:00:00.000,2018-05-08 15:20:00.000,NO,Important,Somewhat Important,Very Important,Very Important,50-60,,Very much,,Sedan,NO,Important,Very Important,Important,Important,Important,Important,yes,yes,yes,,Honda Clarity
yes,Huntington,4:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-07 16:32:00.000,YES,Very Important,Very Important,Very Important,Very Important,30-40,,A little,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Important,yes,yes,yes,,Mercedes GLE
yes,Huntington,11:00 AM,Driver,,2018-05-11 00:00:00.000,2018-05-08 15:46:00.000,NO,Somewhat Important,Very Important,Very Important,Very Important,20-30,N/A,Not at all,N/A,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,yes,yes,yes,,Mercedes GLE
yes,Huntington,9:30 AM,Driver,,2018-05-11 00:00:00.000,2018-05-09 12:28:00.000,NO,Important,Somewhat Important,Very Important,Very Important,40-50,,Very much,,SUV,NO,Very Important,Very Important,Somewhat Important,Important,Somewhat Important,Very Important,yes,yes,yes,,Mercedes GLE
yes,Huntington,3:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-08 17:47:00.000,NO,Unimportant,Important,Very Important,Important,20-Oct,,Very much,,Sports Car,NO,Very Important,Somewhat Important,Important,Very Important,Very Important,Somewhat Important,yes,yes,yes,,Mercedes GLE
yes,Huntington,10:00 AM,Driver,,2018-05-11 00:00:00.000,2018-05-10 16:09:00.000,NO,Important,Somewhat Important,Important,Important,0-10,,Very much,,SUV,NO,Important,Important,Important,Important,Important,Somewhat Important,yes,yes,yes,,Mercedes GLE
no,Huntington,1:00 PM,Driver,,2018-05-11 00:00:00.000,2018-05-11 16:57:00.000,NO,Somewhat Important,Important,Very Important,Important,0-10,,Very much,,Sedan,NO,Important,Important,Very Important,Very Important,Very Important,Important,yes,no,yes,,Mercedes 350e
yes,Huntington,10:30 AM,Driver,,2018-05-11 00:00:00.000,2018-04-25 16:24:00.000,NO,Somewhat Important,Important,Very Important,Very Important,0-10,,A little,,"SUV, Van",NO,Important,Important,Important,Very Important,Important,Somewhat Important,yes,yes,yes,,Mercedes GLE
yes,Huntington,11:30 AM,Driver,,2018-05-11 00:00:00.000,2018-04-25 17:12:00.000,NO,Important,Very Important,Very Important,Important,30-40,,Very much,,Sedan,NO,Important,Very Important,Important,Very Important,Important,Important,yes,yes,yes,,Mercedes GLE
yes,Huntington,12:00 PM,Driver,,2018-05-11 00:00:00.000,2018-04-26 15:17:00.000,NO,Somewhat Important,Very Important,Very Important,Very Important,50-60,N/A,Very much,YES,"SUV, Sports Car",NO,Important,Important,Very Important,Very Important,Important,Important,yes,yes,yes,,Mercedes GLE
yes,Huntington,12:30 PM,Driver,,2018-05-11 00:00:00.000,2018-04-26 16:12:00.000,NO,Somewhat Important,Important,Very Important,Very Important,40-50,,A little,,SUV,NO,Very Important,Important,Somewhat Important,Very Important,Somewhat Important,Very Important,yes,yes,no,,Mercedes GLE
yes,Huntington,3:30 PM,Driver,2,2018-05-11 00:00:00.000,2018-04-26 11:55:00.000,,Somewhat Important,Somewhat Important,Very Important,Very Important,0-10,N/A,Not at all,N/A,Sedan,NO,Very Important,Very Important,Unimportant,Important,Somewhat Important,Somewhat Important,yes,yes,no,,Mercedes 350e
