checked in,company name,drive time,driver status,entry count,event date,last updated,question_1,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,registered,signed waiver,survey complete,timestamp,vehicle
yes,Cardinal Health - Wednesday,11:30 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 18:58:00.000,YES,Very Important,Important,Very Important,Very Important,20-30,N/A,Very much,Yes,Van,NO,Very Important,Important,Important,Very Important,Very Important,Important,yes,yes,no,,Tesla Model S
yes,Cardinal Health - Wednesday,9:30 AM,Driver,,2018-06-13 00:00:00.000,2018-06-08 13:12:00.000,NO,Important,Very Important,Very Important,Very Important,30-40,,Very much,,"Sedan, SUV",YES,Very Important,Very Important,Important,Very Important,Important,Very Important,yes,yes,no,,Tesla Model S
no,Cardinal Health - Wednesday,3:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-07 13:06:00.000,YES,Very Important,Important,Very Important,Very Important,40-50,,Very much,,Sedan,NO,Very Important,Important,Somewhat Important,Important,Somewhat Important,Important,yes,no,no,,Tesla Model S
no,Cardinal Health - Wednesday,3:00 PM,Driver,2,2018-06-13 00:00:00.000,2018-06-07 13:10:00.000,,Very Important,Very Important,Very Important,Very Important,30-40,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Important,Important,Very Important,yes,no,no,,Tesla Model S
no,Cardinal Health - Wednesday,12:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-07 13:20:00.000,NO,Somewhat Important,Important,Important,Important,30-40,N/A,Very much,Yes,"Sedan, Sports Car",NO,Important,Important,Unimportant,Unimportant,Unimportant,Important,yes,no,no,,Tesla Model S
yes,Cardinal Health - Wednesday,9:00 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 05:50:00.000,YES,Important,Very Important,Very Important,Very Important,30-40,,A little,,Sedan,NO,Important,Very Important,Important,Very Important,Somewhat Important,Important,yes,yes,yes,,Tesla Model X
yes,Cardinal Health - Wednesday,12:30 PM,Driver,,2018-06-13 00:00:00.000,2018-06-07 12:34:00.000,NO,Somewhat Important,Somewhat Important,Very Important,Important,20-Oct,N/A,Very much,Yes,"Sedan, Van",NO,Important,Important,Important,Important,Important,Important,yes,yes,no,,Tesla Model X
yes,Cardinal Health - Wednesday,10:00 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 12:51:00.000,YES,Very Important,Very Important,Very Important,Important,20-Oct,N/A,A little,Yes,SUV,NO,Important,Important,Important,Very Important,Somewhat Important,Somewhat Important,yes,yes,yes,,Tesla Model X
yes,Cardinal Health - Wednesday,12:30 PM,Driver,,2018-06-13 00:00:00.000,2018-06-07 12:53:00.000,NO,Important,Very Important,Very Important,Very Important,20-Oct,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Important,yes,yes,yes,,Tesla Model X
yes,Cardinal Health - Wednesday,11:00 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 13:20:00.000,NO,Very Important,Somewhat Important,Very Important,Very Important,20-30,,A little,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Unimportant,Very Important,yes,yes,yes,,Tesla Model X
yes,Cardinal Health - Wednesday,4:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-12 17:12:00.000,NO,Somewhat Important,Important,Very Important,Very Important,20-30,,A little,,SUV,NO,Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,yes,yes,no,,Tesla Model X
no,Cardinal Health - Wednesday,10:00 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 12:34:00.000,NO,Very Important,Very Important,Very Important,Important,20-Oct,,Very much,,SUV,NO,Important,Important,Very Important,Very Important,Very Important,Very Important,yes,no,yes,,Tesla Model X
no,Cardinal Health - Wednesday,2:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-07 13:47:00.000,YES,Unimportant,Very Important,Very Important,Very Important,30-40,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Important,Important,Important,yes,no,yes,,Tesla Model X
no,Cardinal Health - Wednesday,12:30 PM,Driver,,2018-06-13 00:00:00.000,2018-06-08 13:08:00.000,NO,Important,Somewhat Important,Important,Important,20-30,,A little,,"Sedan, SUV",NO,Very Important,Somewhat Important,Important,Important,Somewhat Important,Important,yes,no,no,,Tesla Model X
yes,Cardinal Health - Wednesday,10:30 AM,Driver,,2018-06-13 00:00:00.000,2018-06-11 16:28:00.000,NO,Unimportant,Important,Very Important,Very Important,20-Oct,,Very much,,Sedan,NO,Very Important,Important,Very Important,Important,Important,Somewhat Important,yes,yes,no,,Toyota Prius Prime
no,Cardinal Health - Wednesday,10:00 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 15:35:00.000,NO,Important,Important,Very Important,Very Important,20-Oct,,A little,,"Sedan, Sports Car",NO,Important,Important,Important,Very Important,Very Important,Important,yes,no,no,,Tesla Model S
